ASIN,NAME,AUTHOR,STARS,ISBN13,ISBN10,SALE_PRICE,ORIGINAL_PRICE,ITEM_SUBCATEGORY,ITEM_SPECIFIC_CATEGORY,AVAILABILITY,URL,STATUS,OBSERVATIONS
0060105518,Bodyguard of Lies,Anthony Cave Brown,4.6,978-0060105518,0060105518,,,History,Military,,https://www.amazon.com/dp/0060105518,5.0,Original price not found
0061723762,"Bounce: Mozart, Federer, Picasso, Beckham, and the Science of Success (P.S.)",Matthew Syed,4.5,978-0061723766,0061723762,$14.99,$14.99,Business & Money,Industries,In Stock.,https://www.amazon.com/dp/0061723762,10.0,Sale price not found
0316796883,Boyd: The Fighter Pilot Who Changed the Art of War,Robert Coram,4.7,978-0316796880,0316796883,$10.44,$18.00,Biographies & Memoirs,Leaders & Notable People,In Stock.,https://www.amazon.com/dp/0316796883,5.0,ASIN number not found
081297381X,"The Black Swan: Second Edition: The Impact of the Highly Improbable: With a new section: ""On Robustness and Fragility"" (Incerto)",Nassim Nicholas Taleb,4.0,978-0812973815,081297381X,$11.98,$18.00,Science & Math,Biological Sciences,In Stock.,https://www.amazon.com/dp/081297381X,5.0,ASIN number not found
1416553657,Born Standing Up: A Comic's Life,Steve Martin,4.4,978-1416553656,1416553657,$9.98,$17.00,Biographies & Memoirs,Arts & Literature,In Stock.,https://www.amazon.com/dp/1416553657,5.0,ASIN number not found
1473613809,Black Box Thinking: The Surprising Truth About Success,Matthew Syed,4.6,978-1473613805,1473613809,,,Uncategorized,Uncategorized,Only 10 left in stock - order soon.,https://www.amazon.com/dp/1473613809,5.0,Category not found
1592405800,Borrowing Brilliance: The Six Steps to Business Innovation by Building on the Ideas of Others,David Kord Murray,4.5,978-1592405800,1592405800,$15.87,$15.87,Business & Money,Finance,Only 13 left in stock (more on the way).,https://www.amazon.com/dp/1592405800,5.0,Original price not found
B0018ZWB08,Bodyguard of Lies Volume Two,Anthony Cave Brown,3.5,---,B0018ZWB08,$17.88,$17.88,History,Military,,https://www.amazon.com/dp/B0018ZWB08,5.0,Sale price not found
B00EBG9H8K,Bodyguard of Lies (2 Volume Set) : the Extraordinary True Story of the Clandestine War of Intricate Deceptions That Hid the Secrets of D-Day from Hitler [I II Two],Anthony Cave Brown,---,---,B00EBG9H8K,$50.25,$50.25,Uncategorized,Uncategorized,,https://www.amazon.com/dp/B00EBG9H8K,5.0,Category not found
0062219693,The Art of Thinking Clearly,Rolf Dobelli,4.0,978-0062219695,0062219693,$12.09,$16.99,"Health, Fitness & Dieting",Psychology & Counseling,In Stock.,https://www.amazon.com/dp/0062219693,12.0,ASIN number not found
0142181110,Average Is Over: Powering America Beyond the Age of the Great Stagnation,Tyler Cowen,3.7,978-0142181119,0142181110,$13.98,$17.00,Engineering & Transportation,Engineering,In Stock.,https://www.amazon.com/dp/0142181110,12.0,ASIN number not found
0143121359,The Beginning of Infinity: Explanations That Transform the World,David Deutsch,4.4,978-0143121350,0143121359,$17.98,$20.00,Business & Money,Management & Leadership,Available to ship in 1-2 days.,https://www.amazon.com/dp/0143121359,36.0,Error in ISBN10
0195014456,"American Popular Song: The Great Innovators, 1900-1950",Alec Wilder - James T. Maher - Gene Lees - & - more,3.9,978-0195014457,0195014456,$74.59,$74.59,Arts & Photography,Music,Only 5 left in stock (more on the way).,https://www.amazon.com/dp/0195014456,12.0,Original price not found
0230120512,The Art of the Pitch: Persuasion and Presentation Skills that Win Business,P. Coughter,4.6,978-0230120518,0230120512,$23.52,$28.00,Business & Money,Finance,In Stock.,https://www.amazon.com/dp/0230120512,12.0,ASIN number not found
0345805976,The Billion Dollar Spy: A True Story of Cold War Espionage and Betrayal,David E. Hoffman,4.6,978-0345805973,0345805976,$11.52,$17.00,Politics & Social Sciences,Politics & Government,In Stock.,https://www.amazon.com/dp/0345805976,12.0,Error in ISBN10
0399563792,Americana: A 400-Year History of American Capitalism,Bhu Srinivasan,4.6,978-0399563799,0399563792,$18.22,$30.00,Business & Money,Economics,In Stock.,https://www.amazon.com/dp/0399563792,12.0,ASIN number not found
0451499085,"The Automatic Millionaire, Expanded and Updated: A Powerful One-Step Plan to Live and Finish Rich",David Bach,4.5,978-0451499080,0451499085,$10.20,$15.00,Business & Money,Business Culture,In Stock.,https://www.amazon.com/dp/0451499085,12.0,ASIN number not found
0470560770,Better Homes and Gardens New Cook Book,Better Homes and Gardens,4.5,978-0470560778,0470560770,$9.52,$9.52,"Crafts, Hobbies & Home",Crafts & Hobbies,,https://www.amazon.com/dp/0470560770,12.0,Sale price not found
0544789768,The Big Picture: The Fight for the Future of Movies,Ben Fritz,4.7,978-0544789760,0544789768,$18.36,$27.00,Business & Money,Industries,In Stock.,https://www.amazon.com/dp/0544789768,24.0,ASIN number not found
0671028472,The Apprenticeship of Duddy Kravitz,Mordecai Richler,3.4,978-0671028473,0671028472,$24.95,$24.95,Literature & Fiction,Contemporary,In Stock.,https://www.amazon.com/dp/0671028472,12.0,Original price not found
0812982401,The Bed of Procrustes: Philosophical and Practical Aphorisms (Incerto),Nassim Nicholas Taleb,3.9,978-0812982404,0812982401,$10.87,$16.00,Business & Money,Job Hunting & Careers,In Stock.,https://www.amazon.com/dp/0812982401,12.0,ASIN number not found
0814408699,"Billy, Alfred, and General Motors: The Story of Two Unique Men, a Legendary Company, and a Remarkable Time in American History",William Pelfrey,4.4,978-0814408698,0814408699,,,Biographies & Memoirs,Historical,,https://www.amazon.com/dp/0814408699,12.0,Original price not found
1137279869,Agency: Starting a Creative Firm in the Age of Digital Marketing (Advertising Age),Rick Webb,4.6,978-1137279866,1137279869,$25.10,$30.00,Business & Money,Marketing & Sales,Only 15 left in stock (more on the way).,https://www.amazon.com/dp/1137279869,12.0,ASIN number not found
1250074312,"Automating Inequality: How High-Tech Tools Profile, Police, and Punish the Poor",Virginia Eubanks,4.2,978-1250074317,1250074312,$18.35,$26.99,Politics & Social Sciences,Politics & Government,In Stock.,https://www.amazon.com/dp/1250074312,12.0,Error in ISBN10
1640192425,Alexander the Great,Charles Mercer,3.9,978-1640192423,1640192425,$9.99,$9.99,History,Ancient Civilizations,In Stock.,https://www.amazon.com/dp/1640192425,12.0,Original price not found
B00S1PRTL4,Become An Idea Machine: Because Ideas Are The Currency Of The 21st Century,Claudia Azula Altucher - James Altucher,4.1,---,B00S1PRTL4,,,Kindle eBooks,Business & Money,,https://www.amazon.com/dp/B00S1PRTL4,12.0,Original price not found
006177460X,The 50th Law,50 Cent - Robert Greene,4.6,978-0061774607,006177460X,$14.99,$23.99,Arts & Photography,Music,In Stock.,https://www.amazon.com/dp/006177460X,13.0,Error in ISBN10
0140280197,The 48 Laws of Power,Robert Greene,4.5,978-0140280197,0140280197,$18.00,$20.00,Politics & Social Sciences,Politics & Government,In Stock.,https://www.amazon.com/dp/0140280197,13.0,ASIN number not found
0747588708,Sarah Raven's Garden Cookbook,Sarah Raven - Jonathan Buckley,5.0,978-0747588702,0747588708,$38.63,$38.63,Uncategorized,Uncategorized,,https://www.amazon.com/dp/0747588708,13.0,Category not found
1449361323,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking,Foster Provost - Tom Fawcett,4.5,978-1449361327,1449361323,$30.32,$39.99,Science & Math,Mathematics,In Stock.,https://www.amazon.com/dp/1449361323,13.0,ASIN number not found
1623365260,"Learn Better: Mastering the Skills for Success in Life, Business, and School, or, How to Become an Expert in Just About Anything",Ulrich Boser,4.2,978-1623365264,1623365260,$13.74,$24.99,"Health, Fitness & Dieting",Psychology & Counseling,In Stock.,https://www.amazon.com/dp/1623365260,13.0,ASIN number not found
